样品类型,样品编号,测量天数,观测剩磁(mT),保留率R,动态阈值(mT),反推初值点估计(mT),反推初值下界(mT),反推初值上界(mT),区间相对宽度,反推初值裕度(mT),校准Z值,Bootstrap支持率,校准支持概率,三区域判定,高风险提示
小号铁钉,9,3,2.1061,0.745802,0.745802,2.823941,2.815304,2.832324,0.006027,1.823941,4.355029,0.9995,0.999993,支持曾遭雷击,否
小号铁钉,9,4,1.9932,0.698656,0.698656,2.852906,2.845285,2.860317,0.005269,1.852906,4.420251,0.9995,0.999995,支持曾遭雷击,否
小号铁钉,9,5,1.8816,0.651078,0.651078,2.889977,2.882919,2.896815,0.004808,1.889977,4.503456,0.9995,0.999997,支持曾遭雷击,否
小号铁钉,9,6,1.7796,0.616501,0.616501,2.886612,2.881497,2.891516,0.003471,1.886612,4.496,0.9995,0.999997,支持曾遭雷击,否
小号铁钉,9,7,1.6837,0.57979,0.57979,2.903981,2.90021,2.907596,0.002543,1.903981,4.534937,0.9995,0.999997,支持曾遭雷击,否
小号铁钉,9,8,1.5962,0.553038,0.553038,2.88624,2.884758,2.887644,0.001,1.88624,4.495251,0.9995,0.999997,支持曾遭雷击,否
小号铁钉,9,9,1.5061,0.516667,0.516667,2.91503,2.91409,2.916024,0.000663,1.91503,4.559697,0.9995,0.999997,支持曾遭雷击,否
小号铁钉,9,10,1.4184,0.474942,0.474942,2.986467,2.985416,2.987555,0.000716,1.986467,4.718922,0.9995,0.999999,支持曾遭雷击,否
小号铁钉,9,11,1.3338,0.432305,0.432305,3.085324,3.083223,3.087413,0.001358,2.085324,4.937643,0.9995,1.0,支持曾遭雷击,否
小号铁钉,9,12,1.2566,0.396366,0.396366,3.170304,3.167415,3.173247,0.00184,2.170304,5.124134,0.9995,1.0,支持曾遭雷击,否
小号铁钉,9,13,1.1932,0.389712,0.389712,3.061746,3.059257,3.064352,0.001664,2.061746,4.885637,0.9995,0.999999,支持曾遭雷击,否
小号铁钉,9,14,1.1282,0.369112,0.369112,3.056524,3.052022,3.061189,0.002999,2.056524,4.874051,0.9995,0.999999,支持曾遭雷击,否
小号铁钉,9,15,1.064,0.345197,0.345197,3.082297,3.076666,3.088129,0.003719,2.082297,4.930867,0.9995,1.0,支持曾遭雷击,否
小号铁钉,9,22,0.5875,0.212358,0.212358,2.766551,2.756249,2.776948,0.007482,1.766551,4.225361,0.9995,0.999988,支持曾遭雷击,否
小号铁钉,9,30,0.3176,0.111506,0.111506,2.84829,2.83869,2.858093,0.006812,1.84829,4.409738,0.9995,0.999995,支持曾遭雷击,否
小号铁钉,9,37,0.202,0.071699,0.071699,2.817321,2.799796,2.835343,0.012617,1.817321,4.339249,0.9995,0.999993,支持曾遭雷击,否
小号铁钉,9,44,0.1215,0.041917,0.041917,2.898555,2.879624,2.918342,0.013358,1.898555,4.521411,0.9995,0.999997,灰区/证据不足,是
小号铁钉,9,51,0.0725,0.022821,0.022821,3.17689,3.159413,3.194485,0.01104,2.17689,5.137306,0.9995,1.0,灰区/证据不足,是
小号铁钉,9,58,0.0317,0.011383,0.011383,2.784971,2.776728,2.793204,0.005916,1.784971,4.267149,0.9995,0.99999,灰区/证据不足,是
小号铁钉,9,90,0.0017,0.00058,0.00058,2.930956,2.889395,2.968042,0.026833,1.930956,4.589811,0.9995,0.999998,灰区/证据不足,是
小号铁钉,10,1,2.8329,0.875958,0.875958,3.234058,3.224564,3.243247,0.005777,2.234058,5.262771,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,2,2.5384,0.808559,0.808559,3.139412,3.13012,3.148393,0.005821,2.139412,5.056182,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,3,2.2745,0.745802,0.745802,3.049739,3.040411,3.058791,0.006027,2.049739,4.858812,0.9995,0.999999,支持曾遭雷击,否
小号铁钉,10,4,2.1526,0.698656,0.698656,3.081059,3.072828,3.089062,0.005269,2.081059,4.928002,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,5,2.0321,0.651078,0.651078,3.121132,3.11351,3.128517,0.004808,2.121132,5.016196,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,6,1.9219,0.616501,0.616501,3.117431,3.111907,3.122726,0.003471,2.117431,5.008173,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,7,1.8183,0.57979,0.57979,3.136134,3.132061,3.140038,0.002543,2.136134,5.049279,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,8,1.7238,0.553038,0.553038,3.116965,3.115365,3.118482,0.001,2.116965,5.007261,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,9,1.6265,0.516667,0.516667,3.148062,3.147047,3.149135,0.000663,2.148062,5.075486,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,10,1.5319,0.474942,0.474942,3.225443,3.224309,3.226619,0.000716,2.225443,5.244413,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,11,1.4405,0.432305,0.432305,3.332141,3.329872,3.334397,0.001358,2.332141,5.475355,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,12,1.3571,0.396366,0.396366,3.423858,3.420737,3.427037,0.00184,2.423858,5.672012,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,13,1.2886,0.389712,0.389712,3.306542,3.303854,3.309356,0.001664,2.306542,5.420143,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,14,1.2184,0.369112,0.369112,3.300894,3.296033,3.305933,0.002999,2.300894,5.407876,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,15,1.1491,0.345197,0.345197,3.328823,3.322741,3.335121,0.003719,2.328823,5.468073,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,22,0.6344,0.212358,0.212358,2.987404,2.97628,2.998631,0.007482,1.987404,4.720562,0.9995,0.999999,支持曾遭雷击,否
小号铁钉,10,30,0.343,0.111506,0.111506,3.076081,3.065714,3.086668,0.006812,2.076081,4.916854,0.9995,1.0,支持曾遭雷击,否
小号铁钉,10,37,0.2181,0.071699,0.071699,3.04187,3.022948,3.061329,0.012617,2.04187,4.84031,0.9995,0.999999,支持曾遭雷击,否
小号铁钉,10,44,0.1313,0.041917,0.041917,3.132348,3.11189,3.153731,0.013358,2.132348,5.039205,0.9995,1.0,灰区/证据不足,是
小号铁钉,10,51,0.0783,0.022821,0.022821,3.431041,3.412166,3.450044,0.01104,2.431041,5.685791,0.9995,1.0,灰区/证据不足,是
小号铁钉,10,58,0.0342,0.011383,0.011383,3.004606,2.995712,3.013489,0.005916,2.004606,4.758929,0.9995,0.999999,灰区/证据不足,是
小号铁钉,10,90,0.0019,0.00058,0.00058,3.275774,3.229324,3.317223,0.026833,2.275774,5.345877,0.9995,1.0,灰区/证据不足,是
小号铁钉,11,1,1.4846,0.875958,0.875958,1.69483,1.689854,1.699645,0.005777,0.69483,1.707718,0.9995,0.956156,灰区/证据不足,否
小号铁钉,11,2,1.3302,0.808559,0.808559,1.645149,1.64028,1.649855,0.005821,0.645149,1.587151,0.9995,0.943761,灰区/证据不足,否
小号铁钉,11,3,1.192,0.745802,0.745802,1.59828,1.593392,1.603024,0.006027,0.59828,1.473157,0.9995,0.929646,灰区/证据不足,否
小号铁钉,11,4,1.128,0.698656,0.698656,1.614528,1.610216,1.618723,0.005269,0.614528,1.512711,0.9995,0.934823,灰区/证据不足,否
小号铁钉,11,5,1.0649,0.651078,0.651078,1.635595,1.631601,1.639465,0.004808,0.635595,1.563946,0.9995,0.941085,灰区/证据不足,否
小号铁钉,11,6,1.0072,0.616501,0.616501,1.633736,1.630841,1.636511,0.003471,0.633736,1.559435,0.9995,0.940553,灰区/证据不足,否
小号铁钉,11,7,0.9529,0.57979,0.57979,1.643525,1.641391,1.645571,0.002543,0.643525,1.583233,0.9995,0.943316,灰区/证据不足,否
小号铁钉,11,8,0.9034,0.553038,0.553038,1.633523,1.632684,1.634317,0.001,0.633523,1.558928,0.9995,0.940493,灰区/证据不足,否
小号铁钉,11,9,0.8524,0.516667,0.516667,1.649805,1.649273,1.650368,0.000663,0.649805,1.598496,0.9995,0.945034,灰区/证据不足,否
小号铁钉,11,10,0.8028,0.474942,0.474942,1.69031,1.689715,1.690926,0.000716,0.69031,1.696797,0.9995,0.955132,灰区/证据不足,否
小号铁钉,11,11,0.7549,0.432305,0.432305,1.746222,1.745033,1.747404,0.001358,0.746222,1.832178,0.9995,0.966538,灰区/证据不足,否
小号铁钉,11,12,0.7112,0.396366,0.396366,1.794302,1.792667,1.795968,0.00184,0.794302,1.948299,0.9995,0.97431,灰区/证据不足,否
小号铁钉,11,13,0.6753,0.389712,0.389712,1.732817,1.731408,1.734292,0.001664,0.732817,1.799751,0.9995,0.96405,灰区/证据不足,否
小号铁钉,11,14,0.6385,0.369112,0.369112,1.729827,1.727279,1.732467,0.002999,0.729827,1.792509,0.9995,0.963474,灰区/证据不足,否
小号铁钉,11,15,0.6022,0.345197,0.345197,1.744511,1.741324,1.747811,0.003719,0.744511,1.828026,0.9995,0.966227,灰区/证据不足,否
小号铁钉,11,22,0.3325,0.212358,0.212358,1.56575,1.55992,1.571635,0.007482,0.56575,1.393886,0.9995,0.918324,灰区/证据不足,否
小号铁钉,11,30,0.1798,0.111506,0.111506,1.612476,1.607042,1.618026,0.006812,0.612476,1.507701,0.9995,0.934185,灰区/证据不足,否
小号铁钉,11,37,0.1143,0.071699,0.071699,1.594157,1.584241,1.604355,0.012617,0.594157,1.463019,0.9995,0.928269,灰区/证据不足,否
小号铁钉,11,44,0.0688,0.041917,0.041917,1.641322,1.630602,1.652526,0.013358,0.641322,1.577714,0.9995,0.942684,灰区/证据不足,是
小号铁钉,11,51,0.041,0.022821,0.022821,1.796586,1.786702,1.806537,0.01104,0.796586,1.953646,0.9995,0.974628,灰区/证据不足,是
小号铁钉,11,58,0.0179,0.011383,0.011383,1.572586,1.567931,1.577235,0.005916,0.572586,1.410567,0.9995,0.920814,灰区/证据不足,是
小号铁钉,11,90,0.001,0.00058,0.00058,1.724092,1.699644,1.745907,0.026833,0.724092,1.777857,0.9995,0.962286,灰区/证据不足,是
小号铁钉,12,1,3.3464,0.875958,0.875958,3.820273,3.809058,3.831127,0.005777,2.820273,6.501194,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,2,2.9986,0.808559,0.808559,3.708573,3.697596,3.719182,0.005821,2.708573,6.270822,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,3,2.6869,0.745802,0.745802,3.602701,3.591681,3.613394,0.006027,2.602701,6.049988,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,4,2.5428,0.698656,0.698656,3.639559,3.629837,3.649014,0.005269,2.639559,6.12727,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,5,2.4004,0.651078,0.651078,3.686809,3.677805,3.695532,0.004808,2.686809,6.225824,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,6,2.2703,0.616501,0.616501,3.682556,3.67603,3.688811,0.003471,2.682556,6.217152,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,7,2.1479,0.57979,0.57979,3.704615,3.699805,3.709227,0.002543,2.704615,6.263085,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,8,2.0363,0.553038,0.553038,3.682026,3.680136,3.683817,0.001,2.682026,6.216234,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,9,1.9214,0.516667,0.516667,3.718836,3.717636,3.720104,0.000663,2.718836,6.292682,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,10,1.8095,0.474942,0.474942,3.809935,3.808595,3.811323,0.000716,2.809935,6.480602,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,11,1.7016,0.432305,0.432305,3.936113,3.933433,3.938778,0.001358,2.936113,6.73788,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,12,1.6031,0.396366,0.396366,4.044497,4.040811,4.048252,0.00184,3.044497,6.956075,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,13,1.5222,0.389712,0.389712,3.905958,3.902783,3.909283,0.001664,2.905958,6.676688,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,14,1.4393,0.369112,0.369112,3.899357,3.893614,3.905309,0.002999,2.899357,6.663154,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,15,1.3574,0.345197,0.345197,3.932247,3.925062,3.939686,0.003719,2.932247,6.729824,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,22,0.7494,0.212358,0.212358,3.528942,3.515801,3.542204,0.007482,2.528942,5.894504,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,30,0.4052,0.111506,0.111506,3.633901,3.621654,3.646408,0.006812,2.633901,6.115149,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,37,0.2577,0.071699,0.071699,3.594176,3.571819,3.617168,0.012617,2.594176,6.03025,0.9995,1.0,支持曾遭雷击,否
小号铁钉,12,44,0.155,0.041917,0.041917,3.697746,3.673594,3.722988,0.013358,2.697746,6.245883,0.9995,1.0,灰区/证据不足,是
小号铁钉,12,51,0.0925,0.022821,0.022821,4.053273,4.030975,4.075723,0.01104,3.053273,6.971104,0.9995,1.0,灰区/证据不足,是
小号铁钉,12,58,0.0405,0.011383,0.011383,3.558086,3.547554,3.568605,0.005916,2.558086,5.956286,0.9995,1.0,灰区/证据不足,是
小号铁钉,12,90,0.0022,0.00058,0.00058,3.793002,3.739217,3.840996,0.026833,2.793002,6.433744,0.9995,1.0,灰区/证据不足,是
小号铁钉,13,1,3.0768,0.875958,0.875958,3.512496,3.502185,3.522476,0.005777,2.512496,5.859985,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,2,2.757,0.808559,0.808559,3.40977,3.399677,3.419524,0.005821,2.40977,5.641503,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,3,2.4704,0.745802,0.745802,3.312409,3.302278,3.322241,0.006027,2.312409,5.432414,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,4,2.3379,0.698656,0.698656,3.346282,3.337343,3.354975,0.005269,2.346282,5.505479,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,5,2.207,0.651078,0.651078,3.389763,3.381485,3.397784,0.004808,2.389763,5.598853,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,6,2.0874,0.616501,0.616501,3.385881,3.379881,3.391633,0.003471,2.385881,5.590673,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,7,1.9749,0.57979,0.57979,3.406232,3.401808,3.410472,0.002543,2.406232,5.634307,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,8,1.8722,0.553038,0.553038,3.385301,3.383563,3.386948,0.001,2.385301,5.589573,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,9,1.7666,0.516667,0.516667,3.419223,3.41812,3.420389,0.000663,2.419223,5.662152,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,10,1.6638,0.474942,0.474942,3.503161,3.501929,3.504438,0.000716,2.503161,5.840702,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,11,1.5645,0.432305,0.432305,3.618975,3.616511,3.621426,0.001358,2.618975,6.084616,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,12,1.4739,0.396366,0.396366,3.718535,3.715146,3.721987,0.00184,2.718535,6.292011,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,13,1.3996,0.389712,0.389712,3.591367,3.588448,3.594424,0.001664,2.591367,6.02671,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,14,1.3233,0.369112,0.369112,3.58509,3.57981,3.590562,0.002999,2.58509,6.013433,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,15,1.2481,0.345197,0.345197,3.615616,3.60901,3.622456,0.003719,2.615616,6.077405,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,22,0.6891,0.212358,0.212358,3.244988,3.232905,3.257183,0.007482,2.244988,5.286316,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,30,0.3726,0.111506,0.111506,3.341539,3.330277,3.35304,0.006812,2.341539,5.495046,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,37,0.2369,0.071699,0.071699,3.304076,3.283524,3.325212,0.012617,2.304076,5.412992,0.9995,1.0,支持曾遭雷击,否
小号铁钉,13,44,0.1426,0.041917,0.041917,3.401926,3.379707,3.425149,0.013358,2.401926,5.622809,0.9995,1.0,灰区/证据不足,是
小号铁钉,13,51,0.085,0.022821,0.022821,3.724629,3.704139,3.745259,0.01104,2.724629,6.302657,0.9995,1.0,灰区/证据不足,是
小号铁钉,13,58,0.0372,0.011383,0.011383,3.268168,3.258494,3.27783,0.005916,2.268168,5.33682,0.9995,1.0,灰区/证据不足,是
小号铁钉,13,90,0.002,0.00058,0.00058,3.448183,3.399288,3.491814,0.026833,2.448183,5.71483,0.9995,1.0,灰区/证据不足,是
小号铁钉,14,1,1.8606,0.875958,0.875958,2.124074,2.117838,2.130109,0.005777,1.124074,2.736646,0.9995,0.996897,支持曾遭雷击,否
小号铁钉,14,2,1.6672,0.808559,0.808559,2.06194,2.055837,2.067839,0.005821,1.06194,2.589233,0.9995,0.99519,支持曾遭雷击,否
小号铁钉,14,3,1.4939,0.745802,0.745802,2.00308,1.996953,2.009025,0.006027,1.00308,2.449084,0.9995,0.992839,支持曾遭雷击,否
小号铁钉,14,4,1.4138,0.698656,0.698656,2.0236,2.018194,2.028857,0.005269,1.0236,2.498016,0.9995,0.993755,支持曾遭雷击,否
小号铁钉,14,5,1.3347,0.651078,0.651078,2.049985,2.044979,2.054836,0.004808,1.049985,2.560836,0.9995,0.994779,支持曾遭雷击,否
小号铁钉,14,6,1.2623,0.616501,0.616501,2.047522,2.043894,2.051,0.003471,1.047522,2.555002,0.9995,0.994691,支持曾遭雷击,否
小号铁钉,14,7,1.1943,0.57979,0.57979,2.059883,2.057208,2.062447,0.002543,1.059883,2.58441,0.9995,0.995123,支持曾遭雷击,否
小号铁钉,14,8,1.1322,0.553038,0.553038,2.047238,2.046187,2.048234,0.001,1.047238,2.55435,0.9995,0.994681,支持曾遭雷击,否
小号铁钉,14,9,1.0683,0.516667,0.516667,2.067676,2.067009,2.068381,0.000663,1.067676,2.602947,0.9995,0.995379,支持曾遭雷击,否
小号铁钉,14,10,1.0061,0.474942,0.474942,2.118362,2.117617,2.119134,0.000716,1.118362,2.723206,0.9995,0.996767,支持曾遭雷击,否
小号铁钉,14,11,0.9461,0.432305,0.432305,2.188503,2.187013,2.189985,0.001358,1.188503,2.889009,0.9995,0.998068,支持曾遭雷击,否
小号铁钉,14,12,0.8913,0.396366,0.396366,2.248681,2.246631,2.250768,0.00184,1.248681,3.030676,0.9995,0.99878,支持曾遭雷击,否
小号铁钉,14,13,0.8464,0.389712,0.389712,2.171859,2.170093,2.173707,0.001664,1.171859,2.849727,0.9995,0.997812,支持曾遭雷击,否
小号铁钉,14,14,0.8003,0.369112,0.369112,2.168176,2.164983,2.171485,0.002999,1.168176,2.841013,0.9995,0.997751,支持曾遭雷击,否
小号铁钉,14,15,0.7547,0.345197,0.345197,2.186287,2.182293,2.190424,0.003719,1.186287,2.88375,0.9995,0.998035,支持曾遭雷击,否
小号铁钉,14,22,0.4167,0.212358,0.212358,1.96225,1.954943,1.969624,0.007482,0.96225,2.351557,0.9995,0.990652,支持曾遭雷击,否
小号铁钉,14,30,0.2253,0.111506,0.111506,2.020528,2.013718,2.027482,0.006812,1.020528,2.490656,0.9995,0.993625,支持曾遭雷击,否
小号铁钉,14,37,0.1433,0.071699,0.071699,1.998624,1.986192,2.01141,0.012617,0.998624,2.438201,0.9995,0.99262,支持曾遭雷击,否
小号铁钉,14,44,0.0862,0.041917,0.041917,2.056424,2.042992,2.070462,0.013358,1.056424,2.575771,0.9995,0.994999,灰区/证据不足,是
小号铁钉,14,51,0.0514,0.022821,0.022821,2.252305,2.239915,2.26478,0.01104,1.252305,3.038807,0.9995,0.998812,灰区/证据不足,是
小号铁钉,14,58,0.0225,0.011383,0.011383,1.976715,1.970863,1.982558,0.005916,0.976715,2.386163,0.9995,0.991487,灰区/证据不足,是
小号铁钉,14,90,0.0012,0.00058,0.00058,2.06891,2.039573,2.095088,0.026833,1.06891,2.604257,0.9995,0.995396,灰区/证据不足,是
小号铁钉,15,1,1.8008,0.875958,0.875958,2.055806,2.049771,2.061647,0.005777,1.055806,2.574651,0.9995,0.994983,支持曾遭雷击,否
小号铁钉,15,2,1.6136,0.808559,0.808559,1.995649,1.989742,2.001358,0.005821,0.995649,2.43136,0.9995,0.992479,支持曾遭雷击,否
小号铁钉,15,3,1.4459,0.745802,0.745802,1.938719,1.93279,1.944474,0.006027,0.938719,2.295299,0.9995,0.989142,支持曾遭雷击,否
小号铁钉,15,4,1.3683,0.698656,0.698656,1.958475,1.953243,1.963562,0.005269,0.958475,2.342579,0.9995,0.990425,支持曾遭雷击,否
小号铁钉,15,5,1.2917,0.651078,0.651078,1.983941,1.979096,1.988635,0.004808,0.983941,2.403438,0.9995,0.991879,支持曾遭雷击,否
小号铁钉,15,6,1.2217,0.616501,0.616501,1.981667,1.978155,1.985033,0.003471,0.981667,2.39803,0.9995,0.991758,支持曾遭雷击,否
小号铁钉,15,7,1.1559,0.57979,0.57979,1.993652,1.991063,1.996134,0.002543,0.993652,2.426653,0.9995,0.992381,支持曾遭雷击,否
小号铁钉,15,8,1.0958,0.553038,0.553038,1.981419,1.980402,1.982383,0.001,0.981419,2.397462,0.9995,0.991745,支持曾遭雷击,否
小号铁钉,15,9,1.0339,0.516667,0.516667,2.001095,2.00045,2.001778,0.000663,1.001095,2.444425,0.9995,0.992746,支持曾遭雷击,否
小号铁钉,15,10,0.9738,0.474942,0.474942,2.050353,2.049632,2.051101,0.000716,1.050353,2.561763,0.9995,0.994793,支持曾遭雷击,否
小号铁钉,15,11,0.9157,0.432305,0.432305,2.118182,2.11674,2.119616,0.001358,1.118182,2.722777,0.9995,0.996763,支持曾遭雷击,否
小号铁钉,15,12,0.8626,0.396366,0.396366,2.176273,2.174289,2.178293,0.00184,1.176273,2.860146,0.9995,0.997883,支持曾遭雷击,否
小号铁钉,15,13,0.8192,0.389712,0.389712,2.102064,2.100355,2.103853,0.001664,1.102064,2.684571,0.9995,0.996369,支持曾遭雷击,否
小号铁钉,15,14,0.7745,0.369112,0.369112,2.098278,2.095188,2.101481,0.002999,1.098278,2.675579,0.9995,0.99627,支持曾遭雷击,否
小号铁钉,15,15,0.7305,0.345197,0.345197,2.116183,2.112316,2.120186,0.003719,1.116183,2.718011,0.9995,0.996716,支持曾遭雷击,否
小号铁钉,15,22,0.4033,0.212358,0.212358,1.899149,1.892077,1.906286,0.007482,0.899149,2.200447,0.9995,0.986112,支持曾遭雷击,否
小号铁钉,15,30,0.2181,0.111506,0.111506,1.955957,1.949365,1.962689,0.006812,0.955957,2.336523,0.9995,0.990268,支持曾遭雷击,否
小号铁钉,15,37,0.1387,0.071699,0.071699,1.934467,1.922434,1.946842,0.012617,0.934467,2.284895,0.9995,0.988841,支持曾遭雷击,否
小号铁钉,15,44,0.0834,0.041917,0.041917,1.989626,1.976631,2.003208,0.013358,0.989626,2.416678,0.9995,0.992169,灰区/证据不足,是
小号铁钉,15,51,0.0498,0.022821,0.022821,2.182195,2.17019,2.194281,0.01104,1.182195,2.87378,0.9995,0.997972,灰区/证据不足,是
小号铁钉,15,58,0.0218,0.011383,0.011383,1.915217,1.909548,1.920879,0.005916,0.915217,2.239012,0.9995,0.987422,灰区/证据不足,是
小号铁钉,15,90,0.0012,0.00058,0.00058,2.06891,2.039573,2.095088,0.026833,1.06891,2.604257,0.9995,0.995396,灰区/证据不足,是
小号铁钉,16,1,1.8039,0.875958,0.875958,2.059345,2.053299,2.065196,0.005777,1.059345,2.583065,0.9995,0.995104,支持曾遭雷击,否
小号铁钉,16,2,1.6164,0.808559,0.808559,1.999112,1.993195,2.004831,0.005821,0.999112,2.439622,0.9995,0.992649,支持曾遭雷击,否
小号铁钉,16,3,1.4484,0.745802,0.745802,1.942071,1.936131,1.947836,0.006027,0.942071,2.303323,0.9995,0.98937,支持曾遭雷击,否
小号铁钉,16,4,1.3707,0.698656,0.698656,1.96191,1.956669,1.967006,0.005269,0.96191,2.350792,0.9995,0.990633,支持曾遭雷击,否
小号铁钉,16,5,1.294,0.651078,0.651078,1.987473,1.98262,1.992176,0.004808,0.987473,2.411872,0.9995,0.992065,支持曾遭雷击,否
小号铁钉,16,6,1.2238,0.616501,0.616501,1.985073,1.981555,1.988445,0.003471,0.985073,2.406164,0.9995,0.991939,支持曾遭雷击,否
小号铁钉,16,7,1.1578,0.57979,0.57979,1.996929,1.994336,1.999415,0.002543,0.996929,2.434473,0.9995,0.992543,支持曾遭雷击,否
小号铁钉,16,8,1.0977,0.553038,0.553038,1.984855,1.983836,1.985821,0.001,0.984855,2.405666,0.9995,0.991928,支持曾遭雷击,否
小号铁钉,16,9,1.0357,0.516667,0.516667,2.004579,2.003933,2.005263,0.000663,1.004579,2.452735,0.9995,0.992911,支持曾遭雷击,否
小号铁钉,16,10,0.9754,0.474942,0.474942,2.053722,2.053,2.054471,0.000716,1.053722,2.569776,0.9995,0.994912,支持曾遭雷击,否
小号铁钉,16,11,0.9172,0.432305,0.432305,2.121652,2.120207,2.123088,0.001358,1.121652,2.730996,0.9995,0.996843,支持曾遭雷击,否
小号铁钉,16,12,0.8641,0.396366,0.396366,2.180057,2.17807,2.182081,0.00184,1.180057,2.869079,0.9995,0.997942,支持曾遭雷击,否
小号铁钉,16,13,0.8206,0.389712,0.389712,2.105656,2.103944,2.107448,0.001664,1.105656,2.693089,0.9995,0.99646,支持曾遭雷击,否
小号铁钉,16,14,0.7759,0.369112,0.369112,2.102071,2.098975,2.10528,0.002999,1.102071,2.684574,0.9995,0.996369,支持曾遭雷击,否
小号铁钉,16,15,0.7317,0.345197,0.345197,2.119659,2.115786,2.123669,0.003719,1.119659,2.726246,0.9995,0.996797,支持曾遭雷击,否
小号铁钉,16,22,0.404,0.212358,0.212358,1.902445,1.895361,1.909595,0.007482,0.902445,2.208354,0.9995,0.98639,支持曾遭雷击,否
小号铁钉,16,30,0.2184,0.111506,0.111506,1.958648,1.952046,1.965389,0.006812,0.958648,2.342956,0.9995,0.990434,支持曾遭雷击,否
小号铁钉,16,37,0.1389,0.071699,0.071699,1.937257,1.925207,1.94965,0.012617,0.937257,2.291572,0.9995,0.989035,支持曾遭雷击,否
小号铁钉,16,44,0.0836,0.041917,0.041917,1.994397,1.981371,2.008012,0.013358,0.994397,2.428062,0.9995,0.99241,灰区/证据不足,是
小号铁钉,16,51,0.0499,0.022821,0.022821,2.186577,2.174548,2.198687,0.01104,1.186577,2.884116,0.9995,0.998037,灰区/证据不足,是
小号铁钉,16,58,0.0218,0.011383,0.011383,1.915217,1.909548,1.920879,0.005916,0.915217,2.239012,0.9995,0.987422,灰区/证据不足,是
小号铁钉,16,90,0.0012,0.00058,0.00058,2.06891,2.039573,2.095088,0.026833,1.06891,2.604257,0.9995,0.995396,灰区/证据不足,是
小号铁钉,17,1,2.0409,0.875958,0.875958,2.329906,2.323066,2.336525,0.005777,1.329906,3.220901,0.9995,0.999361,支持曾遭雷击,否
小号铁钉,17,2,1.8287,0.808559,0.808559,2.261678,2.254984,2.268148,0.005821,1.261678,3.061096,0.9995,0.998897,支持曾遭雷击,否
小号铁钉,17,3,1.6386,0.745802,0.745802,2.197099,2.190379,2.203621,0.006027,1.197099,2.909178,0.9995,0.998188,支持曾遭雷击,否
小号铁钉,17,4,1.5508,0.698656,0.698656,2.21969,2.213761,2.225457,0.005269,1.21969,2.96242,0.9995,0.998474,支持曾遭雷击,否
小号铁钉,17,5,1.4639,0.651078,0.651078,2.248425,2.242934,2.253745,0.004808,1.248425,3.030012,0.9995,0.998777,支持曾遭雷击,否
