day,weather,temp_c,hum_pct,sample_type,theta_static_mt,theta_dynamic_mt,theta_dynamic_lower_mt,theta_dynamic_upper_mt
68,晴,17.5,70.0,锈蚀钢筋,1.5,0.002817,0.002773,0.002854
69,中到大雨,13.0,90.0,锈蚀钢筋,1.5,0.002402,0.002366,0.002434
70,小雨,12.0,85.0,锈蚀钢筋,1.5,0.002089,0.002059,0.002118
71,多云,14.5,75.0,锈蚀钢筋,1.5,0.001916,0.001888,0.001943
72,晴,16.5,70.0,锈蚀钢筋,1.5,0.001832,0.001804,0.001857
73,晴,18.0,70.0,锈蚀钢筋,1.5,0.001774,0.001744,0.001797
74,多云,19.0,75.0,锈蚀钢筋,1.5,0.001668,0.00164,0.001692
75,多云,20.0,75.0,锈蚀钢筋,1.5,0.001577,0.001549,0.001601
76,多云转小雨,18.5,85.0,锈蚀钢筋,1.5,0.001376,0.00135,0.001397
77,小雨,17.5,85.0,锈蚀钢筋,1.5,0.001198,0.001175,0.001217
78,小雨,16.0,85.0,锈蚀钢筋,1.5,0.00104,0.001021,0.001057
79,阴,18.0,80.0,锈蚀钢筋,1.5,0.000936,0.000919,0.000952
80,多云,19.5,75.0,锈蚀钢筋,1.5,0.00088,0.000862,0.000895
81,多云转小雨,19.0,85.0,锈蚀钢筋,1.5,0.000765,0.00075,0.000778
82,小雨,17.5,85.0,锈蚀钢筋,1.5,0.000663,0.00065,0.000676
83,小雨转阴,16.0,85.0,锈蚀钢筋,1.5,0.000574,0.000563,0.000585
84,小雨,18.0,85.0,锈蚀钢筋,1.5,0.000498,0.000487,0.000508
85,小雨,19.0,85.0,锈蚀钢筋,1.5,0.000431,0.000422,0.000441
86,晴转小雨,19.5,85.0,锈蚀钢筋,1.5,0.000374,0.000366,0.000382
87,小雨,18.5,85.0,锈蚀钢筋,1.5,0.000324,0.000316,0.000331
88,雨,18.5,85.0,锈蚀钢筋,1.5,0.00028,0.000273,0.000287
89,雨转阴,20.0,80.0,锈蚀钢筋,1.5,0.000252,0.000246,0.000258
90,阴,20.0,80.0,锈蚀钢筋,1.5,0.000227,0.000221,0.000232
