样品类型,样品编号,测量天数,观测剩磁(mT),保留率R,反推初值点估计(mT),反推初值下界(mT),反推初值上界(mT),三区域判定,辅助概率
小号铁钉,13,14,1.3233,0.369112,3.58509,3.580008,3.590732,支持曾遭雷击,1.0
小号铁钉,13,15,1.2481,0.345197,3.615616,3.609151,3.622555,支持曾遭雷击,1.0
小号铁钉,13,22,0.6891,0.212358,3.244988,3.233812,3.25743,支持曾遭雷击,1.0
小号铁钉,13,30,0.3726,0.111506,3.341539,3.330063,3.353916,支持曾遭雷击,1.0
小号铁钉,13,37,0.2369,0.071699,3.304076,3.283821,3.326957,支持曾遭雷击,1.0
小号铁钉,13,44,0.1426,0.041917,3.401926,3.378905,3.426692,支持曾遭雷击,1.0
小号铁钉,13,51,0.085,0.022821,3.724629,3.703835,3.745251,支持曾遭雷击,1.0
小号铁钉,13,58,0.0372,0.011383,3.268168,3.25828,3.277189,支持曾遭雷击,1.0
小号铁钉,13,90,0.002,0.00058,3.448183,3.400132,3.493817,支持曾遭雷击,1.0
小号铁钉,14,1,1.8606,0.875958,2.124074,2.117603,2.130311,支持曾遭雷击,1.0
小号铁钉,14,2,1.6672,0.808559,2.06194,2.055482,2.067964,支持曾遭雷击,1.0
小号铁钉,14,3,1.4939,0.745802,2.00308,1.996574,2.008933,支持曾遭雷击,1.0
小号铁钉,14,4,1.4138,0.698656,2.0236,2.01785,2.028787,支持曾遭雷击,1.0
小号铁钉,14,5,1.3347,0.651078,2.049985,2.04469,2.054766,支持曾遭雷击,1.0
小号铁钉,14,6,1.2623,0.616501,2.047522,2.043638,2.051069,支持曾遭雷击,1.0
小号铁钉,14,7,1.1943,0.57979,2.059883,2.05706,2.062482,支持曾遭雷击,1.0
小号铁钉,14,8,1.1322,0.553038,2.047238,2.046216,2.048285,支持曾遭雷击,1.0
小号铁钉,14,9,1.0683,0.516667,2.067676,2.06698,2.068481,支持曾遭雷击,1.0
小号铁钉,14,10,1.0061,0.474942,2.118362,2.117587,2.119158,支持曾遭雷击,1.0
小号铁钉,14,11,0.9461,0.432305,2.188503,2.186977,2.189865,支持曾遭雷击,1.0
小号铁钉,14,12,0.8913,0.396366,2.248681,2.246442,2.250605,支持曾遭雷击,1.0
小号铁钉,14,13,0.8464,0.389712,2.171859,2.170063,2.173671,支持曾遭雷击,1.0
小号铁钉,14,14,0.8003,0.369112,2.168176,2.165103,2.171588,支持曾遭雷击,1.0
小号铁钉,14,15,0.7547,0.345197,2.186287,2.182378,2.190483,支持曾遭雷击,1.0
小号铁钉,14,22,0.4167,0.212358,1.96225,1.955492,1.969774,支持曾遭雷击,1.0
小号铁钉,14,30,0.2253,0.111506,2.020528,2.013589,2.028012,支持曾遭雷击,1.0
小号铁钉,14,37,0.1433,0.071699,1.998624,1.986372,2.012465,支持曾遭雷击,1.0
小号铁钉,14,44,0.0862,0.041917,2.056424,2.042508,2.071394,支持曾遭雷击,1.0
小号铁钉,14,51,0.0514,0.022821,2.252305,2.239731,2.264776,支持曾遭雷击,1.0
小号铁钉,14,58,0.0225,0.011383,1.976715,1.970734,1.982171,支持曾遭雷击,1.0
小号铁钉,14,90,0.0012,0.00058,2.06891,2.040079,2.09629,支持曾遭雷击,1.0
小号铁钉,15,1,1.8008,0.875958,2.055806,2.049543,2.061842,支持曾遭雷击,1.0
小号铁钉,15,2,1.6136,0.808559,1.995649,1.989399,2.00148,支持曾遭雷击,1.0
小号铁钉,15,3,1.4459,0.745802,1.938719,1.932422,1.944385,支持曾遭雷击,1.0
小号铁钉,15,4,1.3683,0.698656,1.958475,1.95291,1.963495,支持曾遭雷击,1.0
小号铁钉,15,5,1.2917,0.651078,1.983941,1.978816,1.988568,支持曾遭雷击,1.0
小号铁钉,15,6,1.2217,0.616501,1.981667,1.977908,1.985099,支持曾遭雷击,1.0
小号铁钉,15,7,1.1559,0.57979,1.993652,1.99092,1.996168,支持曾遭雷击,1.0
小号铁钉,15,8,1.0958,0.553038,1.981419,1.980431,1.982433,支持曾遭雷击,1.0
小号铁钉,15,9,1.0339,0.516667,2.001095,2.000421,2.001874,支持曾遭雷击,1.0
小号铁钉,15,10,0.9738,0.474942,2.050353,2.049604,2.051124,支持曾遭雷击,1.0
小号铁钉,15,11,0.9157,0.432305,2.118182,2.116705,2.119501,支持曾遭雷击,1.0
小号铁钉,15,12,0.8626,0.396366,2.176273,2.174107,2.178135,支持曾遭雷击,1.0
小号铁钉,15,13,0.8192,0.389712,2.102064,2.100326,2.103818,支持曾遭雷击,1.0
小号铁钉,15,14,0.7745,0.369112,2.098278,2.095304,2.101581,支持曾遭雷击,1.0
小号铁钉,15,15,0.7305,0.345197,2.116183,2.112399,2.120244,支持曾遭雷击,1.0
小号铁钉,15,22,0.4033,0.212358,1.899149,1.892608,1.906431,支持曾遭雷击,1.0
小号铁钉,15,30,0.2181,0.111506,1.955957,1.94924,1.963202,支持曾遭雷击,1.0
小号铁钉,15,37,0.1387,0.071699,1.934467,1.922609,1.947864,支持曾遭雷击,1.0
小号铁钉,15,44,0.0834,0.041917,1.989626,1.976162,2.00411,支持曾遭雷击,1.0
小号铁钉,15,51,0.0498,0.022821,2.182195,2.170012,2.194277,支持曾遭雷击,1.0
小号铁钉,15,58,0.0218,0.011383,1.915217,1.909422,1.920503,支持曾遭雷击,1.0
小号铁钉,15,90,0.0012,0.00058,2.06891,2.040079,2.09629,支持曾遭雷击,1.0
小号铁钉,16,1,1.8039,0.875958,2.059345,2.053071,2.065391,支持曾遭雷击,1.0
小号铁钉,16,2,1.6164,0.808559,1.999112,1.992851,2.004953,支持曾遭雷击,1.0
小号铁钉,16,3,1.4484,0.745802,1.942071,1.935764,1.947747,支持曾遭雷击,1.0
小号铁钉,16,4,1.3707,0.698656,1.96191,1.956335,1.966939,支持曾遭雷击,1.0
小号铁钉,16,5,1.294,0.651078,1.987473,1.982339,1.992109,支持曾遭雷击,1.0
小号铁钉,16,6,1.2238,0.616501,1.985073,1.981307,1.988512,支持曾遭雷击,1.0
小号铁钉,16,7,1.1578,0.57979,1.996929,1.994192,1.999449,支持曾遭雷击,1.0
小号铁钉,16,8,1.0977,0.553038,1.984855,1.983865,1.985871,支持曾遭雷击,1.0
小号铁钉,16,9,1.0357,0.516667,2.004579,2.003904,2.00536,支持曾遭雷击,1.0
小号铁钉,16,10,0.9754,0.474942,2.053722,2.052971,2.054494,支持曾遭雷击,1.0
小号铁钉,16,11,0.9172,0.432305,2.121652,2.120172,2.122973,支持曾遭雷击,1.0
小号铁钉,16,12,0.8641,0.396366,2.180057,2.177887,2.181922,支持曾遭雷击,1.0
小号铁钉,16,13,0.8206,0.389712,2.105656,2.103915,2.107413,支持曾遭雷击,1.0
小号铁钉,16,14,0.7759,0.369112,2.102071,2.099092,2.10538,支持曾遭雷击,1.0
小号铁钉,16,15,0.7317,0.345197,2.119659,2.115869,2.123727,支持曾遭雷击,1.0
小号铁钉,16,22,0.404,0.212358,1.902445,1.895893,1.90974,支持曾遭雷击,1.0
小号铁钉,16,30,0.2184,0.111506,1.958648,1.951921,1.965903,支持曾遭雷击,1.0
小号铁钉,16,37,0.1389,0.071699,1.937257,1.925381,1.950673,支持曾遭雷击,1.0
小号铁钉,16,44,0.0836,0.041917,1.994397,1.980901,2.008916,支持曾遭雷击,1.0
小号铁钉,16,51,0.0499,0.022821,2.186577,2.174369,2.198683,支持曾遭雷击,1.0
小号铁钉,16,58,0.0218,0.011383,1.915217,1.909422,1.920503,支持曾遭雷击,1.0
小号铁钉,16,90,0.0012,0.00058,2.06891,2.040079,2.09629,支持曾遭雷击,1.0
小号铁钉,17,1,2.0409,0.875958,2.329906,2.322807,2.336747,支持曾遭雷击,1.0
小号铁钉,17,2,1.8287,0.808559,2.261678,2.254595,2.268286,支持曾遭雷击,1.0
小号铁钉,17,3,1.6386,0.745802,2.197099,2.189963,2.20352,支持曾遭雷击,1.0
小号铁钉,17,4,1.5508,0.698656,2.21969,2.213383,2.22538,支持曾遭雷击,1.0
小号铁钉,17,5,1.4639,0.651078,2.248425,2.242617,2.253669,支持曾遭雷击,1.0
小号铁钉,17,6,1.3846,0.616501,2.2459,2.241639,2.24979,支持曾遭雷击,1.0
小号铁钉,17,7,1.31,0.57979,2.259438,2.256341,2.262289,支持曾遭雷击,1.0
小号铁钉,17,8,1.2419,0.553038,2.245597,2.244476,2.246746,支持曾遭雷击,1.0
小号铁钉,17,9,1.1718,0.516667,2.267998,2.267234,2.268881,支持曾遭雷击,1.0
小号铁钉,17,10,1.1036,0.474942,2.32365,2.3228,2.324523,支持曾遭雷击,1.0
小号铁钉,17,11,1.0378,0.432305,2.400622,2.398948,2.402116,支持曾遭雷击,1.0
小号铁钉,17,12,0.9777,0.396366,2.466661,2.464206,2.468772,支持曾遭雷击,1.0
小号铁钉,17,13,0.9284,0.389712,2.38227,2.380301,2.384259,支持曾遭雷击,1.0
小号铁钉,17,14,0.8778,0.369112,2.378139,2.374769,2.381882,支持曾遭雷击,1.0
小号铁钉,17,15,0.8279,0.345197,2.39834,2.394052,2.402943,支持曾遭雷击,1.0
小号铁钉,17,22,0.4571,0.212358,2.152495,2.145081,2.160748,支持曾遭雷击,1.0
小号铁钉,17,30,0.2471,0.111506,2.216034,2.208424,2.224242,支持曾遭雷击,1.0
小号铁钉,17,37,0.1571,0.071699,2.191095,2.177663,2.206268,支持曾遭雷击,1.0
小号铁钉,17,44,0.0946,0.041917,2.256818,2.241545,2.273247,支持曾遭雷击,1.0
小号铁钉,17,51,0.0564,0.022821,2.471401,2.457603,2.485085,支持曾遭雷击,1.0
小号铁钉,17,58,0.0247,0.011383,2.169993,2.163428,2.175983,支持曾遭雷击,1.0
小号铁钉,17,90,0.0014,0.00058,2.413728,2.380093,2.445672,支持曾遭雷击,1.0
小号铁钉,18,1,2.4734,0.875958,2.823651,2.815048,2.831941,支持曾遭雷击,1.0
小号铁钉,18,2,2.2163,0.808559,2.741049,2.732465,2.749058,支持曾遭雷击,1.0
小号铁钉,18,3,1.9859,0.745802,2.662772,2.654124,2.670554,支持曾遭雷击,1.0
小号铁钉,18,4,1.8794,0.698656,2.690022,2.682378,2.696917,支持曾遭雷击,1.0
小号铁钉,18,5,1.7742,0.651078,2.725019,2.71798,2.731375,支持曾遭雷击,1.0
小号铁钉,18,6,1.678,0.616501,2.721811,2.716648,2.726526,支持曾遭雷击,1.0
小号铁钉,18,7,1.5876,0.57979,2.738231,2.734479,2.741687,支持曾遭雷击,1.0
小号铁钉,18,8,1.505,0.553038,2.721332,2.719975,2.722725,支持曾遭雷击,1.0
小号铁钉,18,9,1.4201,0.516667,2.748578,2.747653,2.749649,支持曾遭雷击,1.0
小号铁钉,18,10,1.3374,0.474942,2.81592,2.81489,2.816978,支持曾遭雷击,1.0
小号铁钉,18,11,1.2577,0.432305,2.909291,2.907262,2.911102,支持曾遭雷击,1.0
小号铁钉,18,12,1.1848,0.396366,2.989158,2.986183,2.991716,支持曾遭雷击,1.0
小号铁钉,18,13,1.1251,0.389712,2.887002,2.884615,2.889411,支持曾遭雷击,1.0
小号铁钉,18,14,1.0638,0.369112,2.882051,2.877966,2.886587,支持曾遭雷击,1.0
小号铁钉,18,15,1.0033,0.345197,2.906456,2.901259,2.912033,支持曾遭雷击,1.0
小号铁钉,18,22,0.5539,0.212358,2.608328,2.599345,2.618329,支持曾遭雷击,1.0
小号铁钉,18,30,0.2995,0.111506,2.685966,2.676742,2.695915,支持曾遭雷击,1.0
小号铁钉,18,37,0.1904,0.071699,2.655534,2.639255,2.673924,支持曾遭雷击,1.0
小号铁钉,18,44,0.1146,0.041917,2.733946,2.715445,2.753849,支持曾遭雷击,1.0
小号铁钉,18,51,0.0684,0.022821,2.997231,2.980498,3.013826,支持曾遭雷击,1.0
小号铁钉,18,58,0.0299,0.011383,2.626834,2.618886,2.634085,支持曾遭雷击,1.0
小号铁钉,18,90,0.0016,0.00058,2.758547,2.720106,2.795053,支持曾遭雷击,1.0
小号铁钉,19,1,2.2913,0.875958,2.615764,2.607795,2.623444,支持曾遭雷击,1.0
小号铁钉,19,2,2.0532,0.808559,2.539332,2.53138,2.546752,支持曾遭雷击,1.0
小号铁钉,19,3,1.8397,0.745802,2.466742,2.45873,2.47395,支持曾遭雷击,1.0
小号铁钉,19,4,1.7411,0.698656,2.492071,2.484989,2.498458,支持曾遭雷击,1.0
小号铁钉,19,5,1.6436,0.651078,2.524429,2.517908,2.530317,支持曾遭雷击,1.0
小号铁钉,19,6,1.5545,0.616501,2.521487,2.516704,2.525855,支持曾遭雷击,1.0
小号铁钉,19,7,1.4707,0.57979,2.536607,2.533131,2.539808,支持曾遭雷击,1.0
小号铁钉,19,8,1.3943,0.553038,2.521165,2.519908,2.522455,支持曾遭雷击,1.0
小号铁钉,19,9,1.3156,0.516667,2.54632,2.545463,2.547312,支持曾遭雷击,1.0
小号铁钉,19,10,1.239,0.474942,2.608737,2.607783,2.609717,支持曾遭雷击,1.0
小号铁钉,19,11,1.1651,0.432305,2.69509,2.693211,2.696768,支持曾遭雷击,1.0
小号铁钉,19,12,1.0976,0.396366,2.76916,2.766403,2.771529,支持曾遭雷击,1.0
小号铁钉,19,13,1.0423,0.389712,2.674537,2.672326,2.676769,支持曾遭雷击,1.0
小号铁钉,19,14,0.9855,0.369112,2.66992,2.666136,2.674123,支持曾遭雷击,1.0
小号铁钉,19,15,0.9295,0.345197,2.692665,2.68785,2.697832,支持曾遭雷击,1.0
小号铁钉,19,22,0.5132,0.212358,2.416671,2.408348,2.425937,支持曾遭雷击,1.0
小号铁钉,19,30,0.2775,0.111506,2.488666,2.480119,2.497884,支持曾遭雷击,1.0
小号铁钉,19,37,0.1764,0.071699,2.460274,2.445192,2.477312,支持曾遭雷击,1.0
小号铁钉,19,44,0.1062,0.041917,2.533552,2.516407,2.551996,支持曾遭雷击,1.0
小号铁钉,19,51,0.0633,0.022821,2.773753,2.758268,2.789111,支持曾遭雷击,1.0
小号铁钉,19,58,0.0277,0.011383,2.433555,2.426192,2.440272,支持曾遭雷击,1.0
小号铁钉,19,90,0.0015,0.00058,2.586137,2.550099,2.620363,支持曾遭雷击,1.0
小号铁钉,20,1,2.0154,0.875958,2.300795,2.293785,2.30755,支持曾遭雷击,1.0
小号铁钉,20,2,1.8059,0.808559,2.233479,2.226485,2.240005,支持曾遭雷击,1.0
小号铁钉,20,3,1.6181,0.745802,2.169612,2.162565,2.175952,支持曾遭雷击,1.0
小号铁钉,20,4,1.5314,0.698656,2.191923,2.185695,2.197541,支持曾遭雷击,1.0
小号铁钉,20,5,1.4456,0.651078,2.220318,2.214582,2.225496,支持曾遭雷击,1.0
小号铁钉,20,6,1.3673,0.616501,2.217838,2.213631,2.22168,支持曾遭雷击,1.0
小号铁钉,20,7,1.2936,0.57979,2.231152,2.228094,2.233967,支持曾遭雷击,1.0
小号铁钉,20,8,1.2263,0.553038,2.217389,2.216283,2.218523,支持曾遭雷击,1.0
小号铁钉,20,9,1.1571,0.516667,2.239546,2.238792,2.240419,支持曾遭雷击,1.0
小号铁钉,20,10,1.0898,0.474942,2.294594,2.293754,2.295456,支持曾遭雷击,1.0
小号铁钉,20,11,1.0248,0.432305,2.37055,2.368897,2.372026,支持曾遭雷击,1.0
小号铁钉,20,12,0.9654,0.396366,2.435629,2.433205,2.437713,支持曾遭雷击,1.0
小号铁钉,20,13,0.9168,0.389712,2.352505,2.35056,2.354468,支持曾遭雷击,1.0
小号铁钉,20,14,0.8668,0.369112,2.348338,2.34501,2.352034,支持曾遭雷击,1.0
小号铁钉,20,15,0.8175,0.345197,2.368213,2.363978,2.372757,支持曾遭雷击,1.0
小号铁钉,20,22,0.4513,0.212358,2.125182,2.117863,2.133331,支持曾遭雷击,1.0
小号铁钉,20,30,0.244,0.111506,2.188233,2.180718,2.196338,支持曾遭雷击,1.0
小号铁钉,20,37,0.1552,0.071699,2.164595,2.151326,2.179585,支持曾遭雷击,1.0
小号铁钉,20,44,0.0934,0.041917,2.22819,2.213111,2.244411,支持曾遭雷击,1.0
小号铁钉,20,51,0.0557,0.022821,2.440728,2.427101,2.454241,支持曾遭雷击,1.0
小号铁钉,20,58,0.0244,0.011383,2.143637,2.137151,2.149554,支持曾遭雷击,1.0
小号铁钉,20,90,0.0013,0.00058,2.241319,2.210086,2.270981,支持曾遭雷击,1.0
小号铁夹,1,1,2.4595,0.87411,2.81372,2.80595,2.821482,支持曾遭雷击,1.0
小号铁夹,1,2,2.1899,0.803269,2.726234,2.718635,2.733864,支持曾遭雷击,1.0
小号铁夹,1,3,1.9498,0.737632,2.643325,2.635707,2.650854,支持曾遭雷击,1.0
小号铁夹,1,4,1.8396,0.687933,2.674097,2.667113,2.680902,支持曾遭雷击,1.0
小号铁夹,1,5,1.7309,0.638238,2.711997,2.7055,2.718303,支持曾遭雷击,1.0
小号铁夹,1,6,1.632,0.601659,2.7125,2.70783,2.717056,支持曾遭雷击,1.0
小号铁夹,1,7,1.5392,0.563319,2.732378,2.728895,2.735787,支持曾遭雷击,1.0
小号铁夹,1,8,1.4549,0.53494,2.719745,2.718137,2.72133,支持曾遭雷击,1.0
小号铁夹,1,9,1.3683,0.49754,2.750132,2.749156,2.751151,支持曾遭雷击,1.0
小号铁夹,1,10,1.2843,0.455328,2.820602,2.819681,2.821651,支持曾遭雷击,1.0
小号铁夹,1,11,1.2035,0.412611,2.916793,2.914684,2.918773,支持曾遭雷击,1.0
小号铁夹,1,12,1.13,0.376629,3.000303,2.997417,3.002993,支持曾遭雷击,1.0
小号铁夹,1,13,1.0699,0.368662,2.902118,2.899727,2.904568,支持曾遭雷击,1.0
小号铁夹,1,14,1.0085,0.347624,2.901127,2.896978,2.905712,支持曾遭雷击,1.0
小号铁夹,1,15,0.948,0.323657,2.929029,2.923858,2.934749,支持曾遭雷击,1.0
小号铁夹,1,22,0.5058,0.192999,2.620743,2.611414,2.631232,支持曾遭雷击,1.0
小号铁夹,1,30,0.264,0.097795,2.699529,2.691074,2.708421,支持曾遭雷击,1.0
小号铁夹,1,37,0.1636,0.060954,2.683992,2.667801,2.70065,支持曾遭雷击,1.0
小号铁夹,1,44,0.0957,0.034542,2.770528,2.752681,2.788942,支持曾遭雷击,1.0
小号铁夹,1,51,0.0554,0.018229,3.039147,3.02263,3.054432,支持曾遭雷击,1.0
小号铁夹,1,58,0.0231,0.008813,2.621101,2.611622,2.631064,支持曾遭雷击,1.0
小号铁夹,1,90,0.0011,0.000389,2.824398,2.788271,2.863056,支持曾遭雷击,1.0
小号铁夹,2,1,1.7776,0.87411,2.033612,2.027996,2.039222,支持曾遭雷击,1.0
小号铁夹,2,2,1.5828,0.803269,1.970448,1.964956,1.975962,支持曾遭雷击,1.0
小号铁夹,2,3,1.4093,0.737632,1.910574,1.905068,1.916017,支持曾遭雷击,1.0
小号铁夹,2,4,1.3296,0.687933,1.932746,1.927698,1.937664,支持曾遭雷击,1.0
小号铁夹,2,5,1.2511,0.638238,1.96024,1.955544,1.964798,支持曾遭雷击,1.0
小号铁夹,2,6,1.1796,0.601659,1.960579,1.957204,1.963872,支持曾遭雷击,1.0
小号铁夹,2,7,1.1125,0.563319,1.974903,1.972385,1.977367,支持曾遭雷击,1.0
小号铁夹,2,8,1.0515,0.53494,1.965641,1.964479,1.966787,支持曾遭雷击,1.0
小号铁夹,2,9,0.989,0.49754,1.987781,1.987076,1.988518,支持曾遭雷击,1.0
小号铁夹,2,10,0.9283,0.455328,2.038748,2.038083,2.039507,支持曾遭雷击,1.0
小号铁夹,2,11,0.8699,0.412611,2.108283,2.106758,2.109714,支持曾遭雷击,1.0
小号铁夹,2,12,0.8167,0.376629,2.168449,2.166363,2.170394,支持曾遭雷击,1.0
小号铁夹,2,13,0.7733,0.368662,2.097586,2.095859,2.099358,支持曾遭雷击,1.0
小号铁夹,2,14,0.7289,0.347624,2.096809,2.09381,2.100122,支持曾遭雷击,1.0
小号铁夹,2,15,0.6852,0.323657,2.117057,2.11332,2.121192,支持曾遭雷击,1.0
小号铁夹,2,22,0.3656,0.192999,1.894313,1.88757,1.901895,支持曾遭雷击,1.0
小号铁夹,2,30,0.1908,0.097795,1.951023,1.944913,1.95745,支持曾遭雷击,1.0
小号铁夹,2,37,0.1183,0.060954,1.940808,1.929101,1.952854,支持曾遭雷击,1.0
小号铁夹,2,44,0.0691,0.034542,2.000455,1.987568,2.01375,支持曾遭雷击,1.0
小号铁夹,2,51,0.0401,0.018229,2.199816,2.18786,2.21088,支持曾遭雷击,1.0
小号铁夹,2,58,0.0167,0.008813,1.894908,1.888056,1.902111,支持曾遭雷击,1.0
小号铁夹,2,90,0.0008,0.000389,2.054108,2.027834,2.082223,支持曾遭雷击,1.0
小号铁夹,3,1,1.998,0.87411,2.285754,2.279442,2.29206,支持曾遭雷击,1.0
小号铁夹,3,2,1.779,0.803269,2.2147,2.208527,2.220898,支持曾遭雷击,1.0
小号铁夹,3,3,1.584,0.737632,2.147414,2.141225,2.15353,支持曾遭雷击,1.0
小号铁夹,3,4,1.4944,0.687933,2.172304,2.166631,2.177832,支持曾遭雷击,1.0
小号铁夹,3,5,1.4062,0.638238,2.203253,2.197975,2.208376,支持曾遭雷击,1.0
小号铁夹,3,6,1.3258,0.601659,2.203574,2.19978,2.207275,支持曾遭雷击,1.0
小号铁夹,3,7,1.2504,0.563319,2.219702,2.216873,2.222472,支持曾遭雷击,1.0
小号铁夹,3,8,1.1819,0.53494,2.209407,2.208101,2.210695,支持曾遭雷击,1.0
小号铁夹,3,9,1.1116,0.49754,2.234194,2.233401,2.235021,支持曾遭雷击,1.0
小号铁夹,3,10,1.0433,0.455328,2.291313,2.290565,2.292166,支持曾遭雷击,1.0
小号铁夹,3,11,0.9777,0.412611,2.369546,2.367833,2.371154,支持曾遭雷击,1.0
小号铁夹,3,12,0.918,0.376629,2.437414,2.435069,2.4396,支持曾遭雷击,1.0
小号铁夹,3,13,0.8692,0.368662,2.357716,2.355774,2.359707,支持曾遭雷击,1.0
小号铁夹,3,14,0.8192,0.347624,2.356572,2.353202,2.360296,支持曾遭雷击,1.0
小号铁夹,3,15,0.7701,0.323657,2.379372,2.375172,2.384019,支持曾遭雷击,1.0
小号铁夹,3,22,0.4109,0.192999,2.12903,2.121451,2.137551,支持曾遭雷击,1.0
小号铁夹,3,30,0.2145,0.097795,2.193367,2.186498,2.200592,支持曾遭雷击,1.0
小号铁夹,3,37,0.1329,0.060954,2.180333,2.167181,2.193866,支持曾遭雷击,1.0
小号铁夹,3,44,0.0777,0.034542,2.249426,2.234936,2.264376,支持曾遭雷击,1.0
小号铁夹,3,51,0.045,0.018229,2.468621,2.455205,2.481037,支持曾遭雷击,1.0
小号铁夹,3,58,0.0188,0.008813,2.13319,2.125476,2.141299,支持曾遭雷击,1.0
小号铁夹,3,90,0.0009,0.000389,2.310871,2.281313,2.3425,支持曾遭雷击,1.0
小号铁夹,4,1,2.1051,0.87411,2.408279,2.401629,2.414922,支持曾遭雷击,1.0
小号铁夹,4,2,1.8744,0.803269,2.333464,2.32696,2.339995,支持曾遭雷击,1.0
小号铁夹,4,3,1.6689,0.737632,2.262512,2.255991,2.268956,支持曾遭雷击,1.0
小号铁夹,4,4,1.5745,0.687933,2.288739,2.282762,2.294564,支持曾遭雷击,1.0
小号铁夹,4,5,1.4816,0.638238,2.321391,2.31583,2.326788,支持曾遭雷击,1.0
小号铁夹,4,6,1.3969,0.601659,2.321747,2.31775,2.325647,支持曾遭雷击,1.0
小号铁夹,4,7,1.3175,0.563319,2.338818,2.335836,2.341736,支持曾遭雷击,1.0
小号铁夹,4,8,1.2453,0.53494,2.327925,2.326549,2.329282,支持曾遭雷击,1.0
小号铁夹,4,9,1.1712,0.49754,2.353983,2.353148,2.354855,支持曾遭雷击,1.0
小号铁夹,4,10,1.0993,0.455328,2.414302,2.413513,2.415199,支持曾遭雷击,1.0
小号铁夹,4,11,1.0301,0.412611,2.496542,2.494737,2.498237,支持曾遭雷击,1.0
小号铁夹,4,12,0.9672,0.376629,2.568047,2.565576,2.57035,支持曾遭雷击,1.0
小号铁夹,4,13,0.9158,0.368662,2.484119,2.482073,2.486217,支持曾遭雷击,1.0
小号铁夹,4,14,0.8632,0.347624,2.483146,2.479595,2.48707,支持曾遭雷击,1.0
小号铁夹,4,15,0.8114,0.323657,2.506977,2.502551,2.511873,支持曾遭雷击,1.0
小号铁夹,4,22,0.4329,0.192999,2.24302,2.235036,2.251997,支持曾遭雷击,1.0
小号铁夹,4,30,0.226,0.097795,2.310961,2.303723,2.318573,支持曾遭雷击,1.0
小号铁夹,4,37,0.1401,0.060954,2.298455,2.28459,2.312721,支持曾遭雷击,1.0
小号铁夹,4,44,0.0819,0.034542,2.371017,2.355743,2.386775,支持曾遭雷击,1.0
小号铁夹,4,51,0.0474,0.018229,2.600281,2.586149,2.613359,支持曾遭雷击,1.0
小号铁夹,4,58,0.0198,0.008813,2.246658,2.238533,2.255198,支持曾遭雷击,1.0
小号铁夹,4,90,0.0009,0.000389,2.310871,2.281313,2.3425,支持曾遭雷击,1.0
小号铁夹,5,1,2.2346,0.87411,2.55643,2.54937,2.563482,支持曾遭雷击,1.0
小号铁夹,5,2,1.9897,0.803269,2.477003,2.470099,2.483935,支持曾遭雷击,1.0
小号铁夹,5,3,1.7715,0.737632,2.401606,2.394684,2.408446,支持曾遭雷击,1.0
小号铁夹,5,4,1.6714,0.687933,2.429596,2.423251,2.435779,支持曾遭雷击,1.0
小号铁夹,5,5,1.5727,0.638238,2.464128,2.458224,2.469857,支持曾遭雷击,1.0
小号铁夹,5,6,1.4828,0.601659,2.464519,2.460276,2.468659,支持曾遭雷击,1.0
小号铁夹,5,7,1.3985,0.563319,2.482608,2.479444,2.485706,支持曾遭雷击,1.0
小号铁夹,5,8,1.3219,0.53494,2.471119,2.469658,2.472559,支持曾遭雷击,1.0
小号铁夹,5,9,1.2432,0.49754,2.498695,2.497808,2.499621,支持曾遭雷击,1.0
小号铁夹,5,10,1.1669,0.455328,2.562766,2.561929,2.563719,支持曾遭雷击,1.0
小号铁夹,5,11,1.0935,0.412611,2.650198,2.648282,2.651997,支持曾遭雷击,1.0
小号铁夹,5,12,1.0267,0.376629,2.726027,2.723405,2.728472,支持曾遭雷击,1.0
小号铁夹,5,13,0.9721,0.368662,2.636834,2.634662,2.63906,支持曾遭雷击,1.0
小号铁夹,5,14,0.9163,0.347624,2.635897,2.632128,2.640063,支持曾遭雷击,1.0
小号铁夹,5,15,0.8613,0.323657,2.661152,2.656454,2.666349,支持曾遭雷击,1.0
小号铁夹,5,22,0.4595,0.192999,2.380845,2.37237,2.390374,支持曾遭雷击,1.0
小号铁夹,5,30,0.2399,0.097795,2.453095,2.445412,2.461175,支持曾遭雷击,1.0
小号铁夹,5,37,0.1487,0.060954,2.439545,2.424829,2.454686,支持曾遭雷击,1.0
小号铁夹,5,44,0.0869,0.034542,2.515767,2.499561,2.532488,支持曾遭雷击,1.0
小号铁夹,5,51,0.0503,0.018229,2.75937,2.744373,2.773248,支持曾遭雷击,1.0
小号铁夹,5,58,0.021,0.008813,2.382819,2.374202,2.391876,支持曾遭雷击,1.0
小号铁夹,5,90,0.001,0.000389,2.567635,2.534792,2.602778,支持曾遭雷击,1.0
小号铁夹,6,1,2.7097,0.87411,3.099954,3.091394,3.108506,支持曾遭雷击,1.0
小号铁夹,6,2,2.4126,0.803269,3.003476,2.995105,3.011882,支持曾遭雷击,1.0
小号铁夹,6,3,2.1482,0.737632,2.912294,2.903901,2.920589,支持曾遭雷击,1.0
小号铁夹,6,4,2.0267,0.687933,2.946071,2.938377,2.953568,支持曾遭雷击,1.0
小号铁夹,6,5,1.907,0.638238,2.987913,2.980755,2.99486,支持曾遭雷击,1.0
小号铁夹,6,6,1.798,0.601659,2.988404,2.983259,2.993424,支持曾遭雷击,1.0
