样品类型,样品编号,测量天数,观测剩磁(mT),保留率R,动态阈值(mT),反推初值点估计(mT),反推初值下界(mT),反推初值上界(mT),区间相对宽度,三区域判定,辅助概率,高风险提示
小号铁钉,11,4,1.128,0.698656,0.698656,1.614528,1.610216,1.618723,0.005269,支持曾遭雷击,1.0,否
小号铁钉,11,5,1.0649,0.651078,0.651078,1.635595,1.631601,1.639465,0.004808,支持曾遭雷击,1.0,否
小号铁钉,11,6,1.0072,0.616501,0.616501,1.633736,1.630841,1.636511,0.003471,支持曾遭雷击,1.0,否
小号铁钉,11,7,0.9529,0.57979,0.57979,1.643525,1.641391,1.645571,0.002543,支持曾遭雷击,1.0,否
小号铁钉,11,8,0.9034,0.553038,0.553038,1.633523,1.632684,1.634317,0.001,支持曾遭雷击,1.0,否
小号铁钉,11,9,0.8524,0.516667,0.516667,1.649805,1.649273,1.650368,0.000663,支持曾遭雷击,1.0,否
小号铁钉,11,10,0.8028,0.474942,0.474942,1.69031,1.689715,1.690926,0.000716,支持曾遭雷击,1.0,否
小号铁钉,11,11,0.7549,0.432305,0.432305,1.746222,1.745033,1.747404,0.001358,支持曾遭雷击,1.0,否
小号铁钉,11,12,0.7112,0.396366,0.396366,1.794302,1.792667,1.795968,0.00184,支持曾遭雷击,1.0,否
小号铁钉,11,13,0.6753,0.389712,0.389712,1.732817,1.731408,1.734292,0.001664,支持曾遭雷击,1.0,否
小号铁钉,11,14,0.6385,0.369112,0.369112,1.729827,1.727279,1.732467,0.002999,支持曾遭雷击,1.0,否
小号铁钉,11,15,0.6022,0.345197,0.345197,1.744511,1.741324,1.747811,0.003719,支持曾遭雷击,1.0,否
小号铁钉,11,22,0.3325,0.212358,0.212358,1.56575,1.55992,1.571635,0.007482,支持曾遭雷击,1.0,否
小号铁钉,11,30,0.1798,0.111506,0.111506,1.612476,1.607042,1.618026,0.006812,支持曾遭雷击,1.0,否
小号铁钉,11,37,0.1143,0.071699,0.071699,1.594157,1.584241,1.604355,0.012617,支持曾遭雷击,1.0,否
小号铁钉,11,44,0.0688,0.041917,0.041917,1.641322,1.630602,1.652526,0.013358,灰区/证据不足,1.0,是
小号铁钉,11,51,0.041,0.022821,0.022821,1.796586,1.786702,1.806537,0.01104,灰区/证据不足,1.0,是
小号铁钉,11,58,0.0179,0.011383,0.011383,1.572586,1.567931,1.577235,0.005916,灰区/证据不足,1.0,是
小号铁钉,11,90,0.001,0.00058,0.00058,1.724092,1.699644,1.745907,0.026833,灰区/证据不足,1.0,是
小号铁钉,12,1,3.3464,0.875958,0.875958,3.820273,3.809058,3.831127,0.005777,支持曾遭雷击,1.0,否
小号铁钉,12,2,2.9986,0.808559,0.808559,3.708573,3.697596,3.719182,0.005821,支持曾遭雷击,1.0,否
小号铁钉,12,3,2.6869,0.745802,0.745802,3.602701,3.591681,3.613394,0.006027,支持曾遭雷击,1.0,否
小号铁钉,12,4,2.5428,0.698656,0.698656,3.639559,3.629837,3.649014,0.005269,支持曾遭雷击,1.0,否
小号铁钉,12,5,2.4004,0.651078,0.651078,3.686809,3.677805,3.695532,0.004808,支持曾遭雷击,1.0,否
小号铁钉,12,6,2.2703,0.616501,0.616501,3.682556,3.67603,3.688811,0.003471,支持曾遭雷击,1.0,否
小号铁钉,12,7,2.1479,0.57979,0.57979,3.704615,3.699805,3.709227,0.002543,支持曾遭雷击,1.0,否
小号铁钉,12,8,2.0363,0.553038,0.553038,3.682026,3.680136,3.683817,0.001,支持曾遭雷击,1.0,否
小号铁钉,12,9,1.9214,0.516667,0.516667,3.718836,3.717636,3.720104,0.000663,支持曾遭雷击,1.0,否
小号铁钉,12,10,1.8095,0.474942,0.474942,3.809935,3.808595,3.811323,0.000716,支持曾遭雷击,1.0,否
小号铁钉,12,11,1.7016,0.432305,0.432305,3.936113,3.933433,3.938778,0.001358,支持曾遭雷击,1.0,否
小号铁钉,12,12,1.6031,0.396366,0.396366,4.044497,4.040811,4.048252,0.00184,支持曾遭雷击,1.0,否
小号铁钉,12,13,1.5222,0.389712,0.389712,3.905958,3.902783,3.909283,0.001664,支持曾遭雷击,1.0,否
小号铁钉,12,14,1.4393,0.369112,0.369112,3.899357,3.893614,3.905309,0.002999,支持曾遭雷击,1.0,否
小号铁钉,12,15,1.3574,0.345197,0.345197,3.932247,3.925062,3.939686,0.003719,支持曾遭雷击,1.0,否
小号铁钉,12,22,0.7494,0.212358,0.212358,3.528942,3.515801,3.542204,0.007482,支持曾遭雷击,1.0,否
小号铁钉,12,30,0.4052,0.111506,0.111506,3.633901,3.621654,3.646408,0.006812,支持曾遭雷击,1.0,否
小号铁钉,12,37,0.2577,0.071699,0.071699,3.594176,3.571819,3.617168,0.012617,支持曾遭雷击,1.0,否
小号铁钉,12,44,0.155,0.041917,0.041917,3.697746,3.673594,3.722988,0.013358,灰区/证据不足,1.0,是
小号铁钉,12,51,0.0925,0.022821,0.022821,4.053273,4.030975,4.075723,0.01104,灰区/证据不足,1.0,是
小号铁钉,12,58,0.0405,0.011383,0.011383,3.558086,3.547554,3.568605,0.005916,灰区/证据不足,1.0,是
小号铁钉,12,90,0.0022,0.00058,0.00058,3.793002,3.739217,3.840996,0.026833,灰区/证据不足,1.0,是
小号铁钉,13,1,3.0768,0.875958,0.875958,3.512496,3.502185,3.522476,0.005777,支持曾遭雷击,1.0,否
小号铁钉,13,2,2.757,0.808559,0.808559,3.40977,3.399677,3.419524,0.005821,支持曾遭雷击,1.0,否
小号铁钉,13,3,2.4704,0.745802,0.745802,3.312409,3.302278,3.322241,0.006027,支持曾遭雷击,1.0,否
小号铁钉,13,4,2.3379,0.698656,0.698656,3.346282,3.337343,3.354975,0.005269,支持曾遭雷击,1.0,否
小号铁钉,13,5,2.207,0.651078,0.651078,3.389763,3.381485,3.397784,0.004808,支持曾遭雷击,1.0,否
小号铁钉,13,6,2.0874,0.616501,0.616501,3.385881,3.379881,3.391633,0.003471,支持曾遭雷击,1.0,否
小号铁钉,13,7,1.9749,0.57979,0.57979,3.406232,3.401808,3.410472,0.002543,支持曾遭雷击,1.0,否
小号铁钉,13,8,1.8722,0.553038,0.553038,3.385301,3.383563,3.386948,0.001,支持曾遭雷击,1.0,否
小号铁钉,13,9,1.7666,0.516667,0.516667,3.419223,3.41812,3.420389,0.000663,支持曾遭雷击,1.0,否
小号铁钉,13,10,1.6638,0.474942,0.474942,3.503161,3.501929,3.504438,0.000716,支持曾遭雷击,1.0,否
小号铁钉,13,11,1.5645,0.432305,0.432305,3.618975,3.616511,3.621426,0.001358,支持曾遭雷击,1.0,否
小号铁钉,13,12,1.4739,0.396366,0.396366,3.718535,3.715146,3.721987,0.00184,支持曾遭雷击,1.0,否
小号铁钉,13,13,1.3996,0.389712,0.389712,3.591367,3.588448,3.594424,0.001664,支持曾遭雷击,1.0,否
小号铁钉,13,14,1.3233,0.369112,0.369112,3.58509,3.57981,3.590562,0.002999,支持曾遭雷击,1.0,否
小号铁钉,13,15,1.2481,0.345197,0.345197,3.615616,3.60901,3.622456,0.003719,支持曾遭雷击,1.0,否
小号铁钉,13,22,0.6891,0.212358,0.212358,3.244988,3.232905,3.257183,0.007482,支持曾遭雷击,1.0,否
小号铁钉,13,30,0.3726,0.111506,0.111506,3.341539,3.330277,3.35304,0.006812,支持曾遭雷击,1.0,否
小号铁钉,13,37,0.2369,0.071699,0.071699,3.304076,3.283524,3.325212,0.012617,支持曾遭雷击,1.0,否
小号铁钉,13,44,0.1426,0.041917,0.041917,3.401926,3.379707,3.425149,0.013358,灰区/证据不足,1.0,是
小号铁钉,13,51,0.085,0.022821,0.022821,3.724629,3.704139,3.745259,0.01104,灰区/证据不足,1.0,是
小号铁钉,13,58,0.0372,0.011383,0.011383,3.268168,3.258494,3.27783,0.005916,灰区/证据不足,1.0,是
小号铁钉,13,90,0.002,0.00058,0.00058,3.448183,3.399288,3.491814,0.026833,灰区/证据不足,1.0,是
小号铁钉,14,1,1.8606,0.875958,0.875958,2.124074,2.117838,2.130109,0.005777,支持曾遭雷击,1.0,否
小号铁钉,14,2,1.6672,0.808559,0.808559,2.06194,2.055837,2.067839,0.005821,支持曾遭雷击,1.0,否
小号铁钉,14,3,1.4939,0.745802,0.745802,2.00308,1.996953,2.009025,0.006027,支持曾遭雷击,1.0,否
小号铁钉,14,4,1.4138,0.698656,0.698656,2.0236,2.018194,2.028857,0.005269,支持曾遭雷击,1.0,否
小号铁钉,14,5,1.3347,0.651078,0.651078,2.049985,2.044979,2.054836,0.004808,支持曾遭雷击,1.0,否
小号铁钉,14,6,1.2623,0.616501,0.616501,2.047522,2.043894,2.051,0.003471,支持曾遭雷击,1.0,否
小号铁钉,14,7,1.1943,0.57979,0.57979,2.059883,2.057208,2.062447,0.002543,支持曾遭雷击,1.0,否
小号铁钉,14,8,1.1322,0.553038,0.553038,2.047238,2.046187,2.048234,0.001,支持曾遭雷击,1.0,否
小号铁钉,14,9,1.0683,0.516667,0.516667,2.067676,2.067009,2.068381,0.000663,支持曾遭雷击,1.0,否
小号铁钉,14,10,1.0061,0.474942,0.474942,2.118362,2.117617,2.119134,0.000716,支持曾遭雷击,1.0,否
小号铁钉,14,11,0.9461,0.432305,0.432305,2.188503,2.187013,2.189985,0.001358,支持曾遭雷击,1.0,否
小号铁钉,14,12,0.8913,0.396366,0.396366,2.248681,2.246631,2.250768,0.00184,支持曾遭雷击,1.0,否
小号铁钉,14,13,0.8464,0.389712,0.389712,2.171859,2.170093,2.173707,0.001664,支持曾遭雷击,1.0,否
小号铁钉,14,14,0.8003,0.369112,0.369112,2.168176,2.164983,2.171485,0.002999,支持曾遭雷击,1.0,否
小号铁钉,14,15,0.7547,0.345197,0.345197,2.186287,2.182293,2.190424,0.003719,支持曾遭雷击,1.0,否
小号铁钉,14,22,0.4167,0.212358,0.212358,1.96225,1.954943,1.969624,0.007482,支持曾遭雷击,1.0,否
小号铁钉,14,30,0.2253,0.111506,0.111506,2.020528,2.013718,2.027482,0.006812,支持曾遭雷击,1.0,否
小号铁钉,14,37,0.1433,0.071699,0.071699,1.998624,1.986192,2.01141,0.012617,支持曾遭雷击,1.0,否
小号铁钉,14,44,0.0862,0.041917,0.041917,2.056424,2.042992,2.070462,0.013358,灰区/证据不足,1.0,是
小号铁钉,14,51,0.0514,0.022821,0.022821,2.252305,2.239915,2.26478,0.01104,灰区/证据不足,1.0,是
小号铁钉,14,58,0.0225,0.011383,0.011383,1.976715,1.970863,1.982558,0.005916,灰区/证据不足,1.0,是
小号铁钉,14,90,0.0012,0.00058,0.00058,2.06891,2.039573,2.095088,0.026833,灰区/证据不足,1.0,是
小号铁钉,15,1,1.8008,0.875958,0.875958,2.055806,2.049771,2.061647,0.005777,支持曾遭雷击,1.0,否
小号铁钉,15,2,1.6136,0.808559,0.808559,1.995649,1.989742,2.001358,0.005821,支持曾遭雷击,1.0,否
小号铁钉,15,3,1.4459,0.745802,0.745802,1.938719,1.93279,1.944474,0.006027,支持曾遭雷击,1.0,否
小号铁钉,15,4,1.3683,0.698656,0.698656,1.958475,1.953243,1.963562,0.005269,支持曾遭雷击,1.0,否
小号铁钉,15,5,1.2917,0.651078,0.651078,1.983941,1.979096,1.988635,0.004808,支持曾遭雷击,1.0,否
小号铁钉,15,6,1.2217,0.616501,0.616501,1.981667,1.978155,1.985033,0.003471,支持曾遭雷击,1.0,否
小号铁钉,15,7,1.1559,0.57979,0.57979,1.993652,1.991063,1.996134,0.002543,支持曾遭雷击,1.0,否
小号铁钉,15,8,1.0958,0.553038,0.553038,1.981419,1.980402,1.982383,0.001,支持曾遭雷击,1.0,否
小号铁钉,15,9,1.0339,0.516667,0.516667,2.001095,2.00045,2.001778,0.000663,支持曾遭雷击,1.0,否
小号铁钉,15,10,0.9738,0.474942,0.474942,2.050353,2.049632,2.051101,0.000716,支持曾遭雷击,1.0,否
小号铁钉,15,11,0.9157,0.432305,0.432305,2.118182,2.11674,2.119616,0.001358,支持曾遭雷击,1.0,否
小号铁钉,15,12,0.8626,0.396366,0.396366,2.176273,2.174289,2.178293,0.00184,支持曾遭雷击,1.0,否
小号铁钉,15,13,0.8192,0.389712,0.389712,2.102064,2.100355,2.103853,0.001664,支持曾遭雷击,1.0,否
小号铁钉,15,14,0.7745,0.369112,0.369112,2.098278,2.095188,2.101481,0.002999,支持曾遭雷击,1.0,否
小号铁钉,15,15,0.7305,0.345197,0.345197,2.116183,2.112316,2.120186,0.003719,支持曾遭雷击,1.0,否
小号铁钉,15,22,0.4033,0.212358,0.212358,1.899149,1.892077,1.906286,0.007482,支持曾遭雷击,1.0,否
小号铁钉,15,30,0.2181,0.111506,0.111506,1.955957,1.949365,1.962689,0.006812,支持曾遭雷击,1.0,否
小号铁钉,15,37,0.1387,0.071699,0.071699,1.934467,1.922434,1.946842,0.012617,支持曾遭雷击,1.0,否
小号铁钉,15,44,0.0834,0.041917,0.041917,1.989626,1.976631,2.003208,0.013358,灰区/证据不足,1.0,是
小号铁钉,15,51,0.0498,0.022821,0.022821,2.182195,2.17019,2.194281,0.01104,灰区/证据不足,1.0,是
小号铁钉,15,58,0.0218,0.011383,0.011383,1.915217,1.909548,1.920879,0.005916,灰区/证据不足,1.0,是
小号铁钉,15,90,0.0012,0.00058,0.00058,2.06891,2.039573,2.095088,0.026833,灰区/证据不足,1.0,是
小号铁钉,16,1,1.8039,0.875958,0.875958,2.059345,2.053299,2.065196,0.005777,支持曾遭雷击,1.0,否
小号铁钉,16,2,1.6164,0.808559,0.808559,1.999112,1.993195,2.004831,0.005821,支持曾遭雷击,1.0,否
小号铁钉,16,3,1.4484,0.745802,0.745802,1.942071,1.936131,1.947836,0.006027,支持曾遭雷击,1.0,否
小号铁钉,16,4,1.3707,0.698656,0.698656,1.96191,1.956669,1.967006,0.005269,支持曾遭雷击,1.0,否
小号铁钉,16,5,1.294,0.651078,0.651078,1.987473,1.98262,1.992176,0.004808,支持曾遭雷击,1.0,否
小号铁钉,16,6,1.2238,0.616501,0.616501,1.985073,1.981555,1.988445,0.003471,支持曾遭雷击,1.0,否
小号铁钉,16,7,1.1578,0.57979,0.57979,1.996929,1.994336,1.999415,0.002543,支持曾遭雷击,1.0,否
小号铁钉,16,8,1.0977,0.553038,0.553038,1.984855,1.983836,1.985821,0.001,支持曾遭雷击,1.0,否
小号铁钉,16,9,1.0357,0.516667,0.516667,2.004579,2.003933,2.005263,0.000663,支持曾遭雷击,1.0,否
小号铁钉,16,10,0.9754,0.474942,0.474942,2.053722,2.053,2.054471,0.000716,支持曾遭雷击,1.0,否
小号铁钉,16,11,0.9172,0.432305,0.432305,2.121652,2.120207,2.123088,0.001358,支持曾遭雷击,1.0,否
小号铁钉,16,12,0.8641,0.396366,0.396366,2.180057,2.17807,2.182081,0.00184,支持曾遭雷击,1.0,否
小号铁钉,16,13,0.8206,0.389712,0.389712,2.105656,2.103944,2.107448,0.001664,支持曾遭雷击,1.0,否
小号铁钉,16,14,0.7759,0.369112,0.369112,2.102071,2.098975,2.10528,0.002999,支持曾遭雷击,1.0,否
小号铁钉,16,15,0.7317,0.345197,0.345197,2.119659,2.115786,2.123669,0.003719,支持曾遭雷击,1.0,否
小号铁钉,16,22,0.404,0.212358,0.212358,1.902445,1.895361,1.909595,0.007482,支持曾遭雷击,1.0,否
小号铁钉,16,30,0.2184,0.111506,0.111506,1.958648,1.952046,1.965389,0.006812,支持曾遭雷击,1.0,否
小号铁钉,16,37,0.1389,0.071699,0.071699,1.937257,1.925207,1.94965,0.012617,支持曾遭雷击,1.0,否
小号铁钉,16,44,0.0836,0.041917,0.041917,1.994397,1.981371,2.008012,0.013358,灰区/证据不足,1.0,是
小号铁钉,16,51,0.0499,0.022821,0.022821,2.186577,2.174548,2.198687,0.01104,灰区/证据不足,1.0,是
小号铁钉,16,58,0.0218,0.011383,0.011383,1.915217,1.909548,1.920879,0.005916,灰区/证据不足,1.0,是
小号铁钉,16,90,0.0012,0.00058,0.00058,2.06891,2.039573,2.095088,0.026833,灰区/证据不足,1.0,是
小号铁钉,17,1,2.0409,0.875958,0.875958,2.329906,2.323066,2.336525,0.005777,支持曾遭雷击,1.0,否
小号铁钉,17,2,1.8287,0.808559,0.808559,2.261678,2.254984,2.268148,0.005821,支持曾遭雷击,1.0,否
小号铁钉,17,3,1.6386,0.745802,0.745802,2.197099,2.190379,2.203621,0.006027,支持曾遭雷击,1.0,否
小号铁钉,17,4,1.5508,0.698656,0.698656,2.21969,2.213761,2.225457,0.005269,支持曾遭雷击,1.0,否
小号铁钉,17,5,1.4639,0.651078,0.651078,2.248425,2.242934,2.253745,0.004808,支持曾遭雷击,1.0,否
小号铁钉,17,6,1.3846,0.616501,0.616501,2.2459,2.24192,2.249715,0.003471,支持曾遭雷击,1.0,否
小号铁钉,17,7,1.31,0.57979,0.57979,2.259438,2.256504,2.26225,0.002543,支持曾遭雷击,1.0,否
小号铁钉,17,8,1.2419,0.553038,0.553038,2.245597,2.244444,2.246689,0.001,支持曾遭雷击,1.0,否
小号铁钉,17,9,1.1718,0.516667,0.516667,2.267998,2.267267,2.268772,0.000663,支持曾遭雷击,1.0,否
小号铁钉,17,10,1.1036,0.474942,0.474942,2.32365,2.322832,2.324497,0.000716,支持曾遭雷击,1.0,否
小号铁钉,17,11,1.0378,0.432305,0.432305,2.400622,2.398987,2.402247,0.001358,支持曾遭雷击,1.0,否
小号铁钉,17,12,0.9777,0.396366,0.396366,2.466661,2.464413,2.468951,0.00184,支持曾遭雷击,1.0,否
小号铁钉,17,13,0.9284,0.389712,0.389712,2.38227,2.380334,2.384298,0.001664,支持曾遭雷击,1.0,否
小号铁钉,17,14,0.8778,0.369112,0.369112,2.378139,2.374637,2.381769,0.002999,支持曾遭雷击,1.0,否
小号铁钉,17,15,0.8279,0.345197,0.345197,2.39834,2.393958,2.402878,0.003719,支持曾遭雷击,1.0,否
小号铁钉,17,22,0.4571,0.212358,0.212358,2.152495,2.144479,2.160584,0.007482,支持曾遭雷击,1.0,否
小号铁钉,17,30,0.2471,0.111506,0.111506,2.216034,2.208565,2.223661,0.006812,支持曾遭雷击,1.0,否
小号铁钉,17,37,0.1571,0.071699,0.071699,2.191095,2.177465,2.205111,0.012617,支持曾遭雷击,1.0,否
小号铁钉,17,44,0.0946,0.041917,0.041917,2.256818,2.242077,2.272224,0.013358,灰区/证据不足,1.0,是
小号铁钉,17,51,0.0564,0.022821,0.022821,2.471401,2.457805,2.485089,0.01104,灰区/证据不足,1.0,是
小号铁钉,17,58,0.0247,0.011383,0.011383,2.169993,2.16357,2.176408,0.005916,灰区/证据不足,1.0,是
小号铁钉,17,90,0.0014,0.00058,0.00058,2.413728,2.379502,2.44427,0.026833,灰区/证据不足,1.0,是
小号铁钉,18,1,2.4734,0.875958,0.875958,2.823651,2.815361,2.831673,0.005777,支持曾遭雷击,1.0,否
小号铁钉,18,2,2.2163,0.808559,0.808559,2.741049,2.732936,2.748891,0.005821,支持曾遭雷击,1.0,否
小号铁钉,18,3,1.9859,0.745802,0.745802,2.662772,2.654628,2.670676,0.006027,支持曾遭雷击,1.0,否
小号铁钉,18,4,1.8794,0.698656,0.698656,2.690022,2.682836,2.69701,0.005269,支持曾遭雷击,1.0,否
小号铁钉,18,5,1.7742,0.651078,0.651078,2.725019,2.718365,2.731467,0.004808,支持曾遭雷击,1.0,否
小号铁钉,18,6,1.678,0.616501,0.616501,2.721811,2.716988,2.726435,0.003471,支持曾遭雷击,1.0,否
小号铁钉,18,7,1.5876,0.57979,0.57979,2.738231,2.734676,2.74164,0.002543,支持曾遭雷击,1.0,否
小号铁钉,18,8,1.505,0.553038,0.553038,2.721332,2.719935,2.722656,0.001,支持曾遭雷击,1.0,否
小号铁钉,18,9,1.4201,0.516667,0.516667,2.748578,2.747692,2.749516,0.000663,支持曾遭雷击,1.0,否
小号铁钉,18,10,1.3374,0.474942,0.474942,2.81592,2.814929,2.816946,0.000716,支持曾遭雷击,1.0,否
小号铁钉,18,11,1.2577,0.432305,0.432305,2.909291,2.90731,2.911261,0.001358,支持曾遭雷击,1.0,否
小号铁钉,18,12,1.1848,0.396366,0.396366,2.989158,2.986434,2.991933,0.00184,支持曾遭雷击,1.0,否
小号铁钉,18,13,1.1251,0.389712,0.389712,2.887002,2.884655,2.889459,0.001664,支持曾遭雷击,1.0,否
小号铁钉,18,14,1.0638,0.369112,0.369112,2.882051,2.877807,2.88645,0.002999,支持曾遭雷击,1.0,否
小号铁钉,18,15,1.0033,0.345197,0.345197,2.906456,2.901146,2.911955,0.003719,支持曾遭雷击,1.0,否
小号铁钉,18,22,0.5539,0.212358,0.212358,2.608328,2.598615,2.61813,0.007482,支持曾遭雷击,1.0,否
小号铁钉,18,30,0.2995,0.111506,0.111506,2.685966,2.676913,2.69521,0.006812,支持曾遭雷击,1.0,否
小号铁钉,18,37,0.1904,0.071699,0.071699,2.655534,2.639016,2.672522,0.012617,支持曾遭雷击,1.0,否
小号铁钉,18,44,0.1146,0.041917,0.041917,2.733946,2.71609,2.752609,0.013358,灰区/证据不足,1.0,是
小号铁钉,18,51,0.0684,0.022821,0.022821,2.997231,2.980743,3.013832,0.01104,灰区/证据不足,1.0,是
小号铁钉,18,58,0.0299,0.011383,0.011383,2.626834,2.619059,2.6346,0.005916,灰区/证据不足,1.0,是
小号铁钉,18,90,0.0016,0.00058,0.00058,2.758547,2.719431,2.793451,0.026833,灰区/证据不足,1.0,是
小号铁钉,19,1,2.2913,0.875958,0.875958,2.615764,2.608085,2.623196,0.005777,支持曾遭雷击,1.0,否
小号铁钉,19,2,2.0532,0.808559,0.808559,2.539332,2.531816,2.546597,0.005821,支持曾遭雷击,1.0,否
小号铁钉,19,3,1.8397,0.745802,0.745802,2.466742,2.459197,2.474064,0.006027,支持曾遭雷击,1.0,否
小号铁钉,19,4,1.7411,0.698656,0.698656,2.492071,2.485414,2.498544,0.005269,支持曾遭雷击,1.0,否
小号铁钉,19,5,1.6436,0.651078,0.651078,2.524429,2.518264,2.530402,0.004808,支持曾遭雷击,1.0,否
小号铁钉,19,6,1.5545,0.616501,0.616501,2.521487,2.517019,2.52577,0.003471,支持曾遭雷击,1.0,否
小号铁钉,19,7,1.4707,0.57979,0.57979,2.536607,2.533313,2.539764,0.002543,支持曾遭雷击,1.0,否
小号铁钉,19,8,1.3943,0.553038,0.553038,2.521165,2.519871,2.522392,0.001,支持曾遭雷击,1.0,否
小号铁钉,19,9,1.3156,0.516667,0.516667,2.54632,2.545499,2.547189,0.000663,支持曾遭雷击,1.0,否
小号铁钉,19,10,1.239,0.474942,0.474942,2.608737,2.607819,2.609688,0.000716,支持曾遭雷击,1.0,否
小号铁钉,19,11,1.1651,0.432305,0.432305,2.69509,2.693255,2.696915,0.001358,支持曾遭雷击,1.0,否
小号铁钉,19,12,1.0976,0.396366,0.396366,2.76916,2.766636,2.77173,0.00184,支持曾遭雷击,1.0,否
小号铁钉,19,13,1.0423,0.389712,0.389712,2.674537,2.672363,2.676813,0.001664,支持曾遭雷击,1.0,否
小号铁钉,19,14,0.9855,0.369112,0.369112,2.66992,2.665988,2.673996,0.002999,支持曾遭雷击,1.0,否
小号铁钉,19,15,0.9295,0.345197,0.345197,2.692665,2.687745,2.697759,0.003719,支持曾遭雷击,1.0,否
小号铁钉,19,22,0.5132,0.212358,0.212358,2.416671,2.407672,2.425753,0.007482,支持曾遭雷击,1.0,否
小号铁钉,19,30,0.2775,0.111506,0.111506,2.488666,2.480279,2.497232,0.006812,支持曾遭雷击,1.0,否
小号铁钉,19,37,0.1764,0.071699,0.071699,2.460274,2.444971,2.476013,0.012617,支持曾遭雷击,1.0,否
小号铁钉,19,44,0.1062,0.041917,0.041917,2.533552,2.517004,2.550847,0.013358,灰区/证据不足,1.0,是
小号铁钉,19,51,0.0633,0.022821,0.022821,2.773753,2.758494,2.789116,0.01104,灰区/证据不足,1.0,是
小号铁钉,19,58,0.0277,0.011383,0.011383,2.433555,2.426352,2.440749,0.005916,灰区/证据不足,1.0,是
小号铁钉,19,90,0.0015,0.00058,0.00058,2.586137,2.549466,2.618861,0.026833,灰区/证据不足,1.0,是
小号铁钉,20,1,2.0154,0.875958,0.875958,2.300795,2.29404,2.307331,0.005777,支持曾遭雷击,1.0,否
小号铁钉,20,2,1.8059,0.808559,0.808559,2.233479,2.226869,2.239869,0.005821,支持曾遭雷击,1.0,否
小号铁钉,20,3,1.6181,0.745802,0.745802,2.169612,2.162976,2.176052,0.006027,支持曾遭雷击,1.0,否
小号铁钉,20,4,1.5314,0.698656,0.698656,2.191923,2.186068,2.197617,0.005269,支持曾遭雷击,1.0,否
小号铁钉,20,5,1.4456,0.651078,0.651078,2.220318,2.214896,2.225571,0.004808,支持曾遭雷击,1.0,否
小号铁钉,20,6,1.3673,0.616501,0.616501,2.217838,2.213908,2.221606,0.003471,支持曾遭雷击,1.0,否
小号铁钉,20,7,1.2936,0.57979,0.57979,2.231152,2.228254,2.233929,0.002543,支持曾遭雷击,1.0,否
小号铁钉,20,8,1.2263,0.553038,0.553038,2.217389,2.21625,2.218467,0.001,支持曾遭雷击,1.0,否
小号铁钉,20,9,1.1571,0.516667,0.516667,2.239546,2.238824,2.24031,0.000663,支持曾遭雷击,1.0,否
小号铁钉,20,10,1.0898,0.474942,0.474942,2.294594,2.293786,2.29543,0.000716,支持曾遭雷击,1.0,否
小号铁钉,20,11,1.0248,0.432305,0.432305,2.37055,2.368936,2.372155,0.001358,支持曾遭雷击,1.0,否
小号铁钉,20,12,0.9654,0.396366,0.396366,2.435629,2.433409,2.43789,0.00184,支持曾遭雷击,1.0,否
小号铁钉,20,13,0.9168,0.389712,0.389712,2.352505,2.350592,2.354507,0.001664,支持曾遭雷击,1.0,否
小号铁钉,20,14,0.8668,0.369112,0.369112,2.348338,2.344879,2.351922,0.002999,支持曾遭雷击,1.0,否
小号铁钉,20,15,0.8175,0.345197,0.345197,2.368213,2.363886,2.372693,0.003719,支持曾遭雷击,1.0,否
小号铁钉,20,22,0.4513,0.212358,0.212358,2.125182,2.117269,2.133169,0.007482,支持曾遭雷击,1.0,否
小号铁钉,20,30,0.244,0.111506,0.111506,2.188233,2.180858,2.195764,0.006812,支持曾遭雷击,1.0,否
小号铁钉,20,37,0.1552,0.071699,0.071699,2.164595,2.151131,2.178442,0.012617,支持曾遭雷击,1.0,否
小号铁钉,20,44,0.0934,0.041917,0.041917,2.22819,2.213637,2.243401,0.013358,灰区/证据不足,1.0,是
小号铁钉,20,51,0.0557,0.022821,0.022821,2.440728,2.427301,2.454246,0.01104,灰区/证据不足,1.0,是
小号铁钉,20,58,0.0244,0.011383,0.011383,2.143637,2.137292,2.149974,0.005916,灰区/证据不足,1.0,是
小号铁钉,20,90,0.0013,0.00058,0.00058,2.241319,2.209537,2.269679,0.026833,灰区/证据不足,1.0,是
小号铁夹,1,1,2.4595,0.87411,0.87411,2.81372,2.805083,2.822325,0.006128,支持曾遭雷击,1.0,否
小号铁夹,1,2,2.1899,0.803269,0.803269,2.726234,2.717723,2.734575,0.006181,支持曾遭雷击,1.0,否
小号铁夹,1,3,1.9498,0.737632,0.737632,2.643325,2.635071,2.651418,0.006184,支持曾遭雷击,1.0,否
小号铁夹,1,4,1.8396,0.687933,0.687933,2.674097,2.66668,2.681336,0.005481,支持曾遭雷击,1.0,否
小号铁夹,1,5,1.7309,0.638238,0.638238,2.711997,2.705103,2.718689,0.005009,支持曾遭雷击,1.0,否
小号铁夹,1,6,1.632,0.601659,0.601659,2.7125,2.707568,2.717418,0.003631,支持曾遭雷击,1.0,否
小号铁夹,1,7,1.5392,0.563319,0.563319,2.732378,2.728738,2.73607,0.002683,支持曾遭雷击,1.0,否
小号铁夹,1,8,1.4549,0.53494,0.53494,2.719745,2.718323,2.721329,0.001105,支持曾遭雷击,1.0,否
